A
ADS
AET
AKAM
ALXN
AMAT
AMG
AMGN
AMT
APH
AVGO
AZO
BAX
BBBY
BBT
BF-B
BMY
BRK-B
BSX
BWA
BXP
CAM
CB
CBG
CBS
CERN
CF
CI
CINF
CL
CLX
CMA
COG
CPB
CTXS
CVS
DE
DIS
DLTR
DOW
DPS
EFX
ESV
ETN
EXC
FCX
FE
FLIR
FMC
GD
GILD
GLW
GM
GMCR
GNW
GPS
GT
HBAN
HCA
HD
HES
HIG
HOG
HSIC
ICE
IP
IRM
ITW
KLAC
KORS
KSS
KSU
LEG
LNC
M
MA
MCO
MDLZ
MDT
MNK
MOS
MRK
MRO
MYL
NE
NEE
NFLX
NKE
NUE
OMC
PCAR
PCP
PFE
PG
PHM
PPG
PVH
REGN
ROK
SCG
SEE
SIAL
SJM
SLB
SNDK
SNI
SPG
SPLS
STJ
STX
SWK
SWN
SYK
TE
TIF
TRIP
TSN
VFC
VMC
VTR
WBA
WFC
WHR
WMT
WU
XLNX
XOM
XRAY
