AA
AAL
AAPL
ABBV
ABC
ABT
ACE
ACN
ADBE
ADI
ADM
ADP
ADSK
ADT
AEE
AEP
AES
AFL
AGN
AIG
AIV
AIZ
ALL
ALLE
ALTR
AME
AMP
AMZN
AN
ANTM
AON
APA
APC
APD
ARG
ATI
AVB
AVY
AXP
BA
BAC
BBY
BCR
BDX
BEN
BHI
BIIB
BK
BLK
BLL
BRCM
C
CA
CAG
CAH
CAT
CCE
CCI
CCL
CELG
CHK
CHRW
CMCSA
CME
CMG
CMI
CMS
CNP
CNX
COF
COH
COL
COP
COST
CSC
CSCO
CSX
CTAS
CTL
CTSH
CVC
CVX
D
DAL
DD
DFS
DG
DGX
DHI
DHR
DISCA
DLPH
DNB
DO
DOV
DRI
DTE
DTV
DUK
DVA
DVN
EA
EBAY
ECL
ED
EIX
EL
EMC
EMN
EMR
ENDP
EOG
EQIX
EQR
EQT
ES
ESRX
ESS
ETFC
ETR
EW
EXPD
EXPE
F
FAST
FB
FDO
FDX
FFIV
FIS
FISV
FITB
FLR
FLS
FOSL
FOXA
FSLR
FTI
FTR
GAS
GE
GGP
GIS
GME
GOOGL
GPC
GRMN
GS
GWW
HAL
HAR
HAS
HBI
HCBK
HCN
HCP
HON
HOT
HP
HPQ
HRB
HRL
HRS
HSP
HST
HSY
HUM
IBM
IFF
INTC
INTU
IPG
IR
ISRG
IVZ
JCI
JEC
JNJ
JNPR
JOY
JPM
JWN
K
KEY
KIM
KMB
KMI
KMX
KO
KR
KRFT
L
LB
LEN
LH
LLL
LLTC
LLY
LM
LMT
LOW
LRCX
LUK
LUV
LVLT
LYB
MAC
MAR
MAS
MAT
MCD
MCHP
MCK
MET
MHFI
MHK
MJN
MKC
MLM
MMC
MMM
MNST
MO
MON
MPC
MS
MSFT
MSI
MTB
MU
MUR
NAVI
NBL
NDAQ
NEM
NFX
NI
NOC
NOV
NRG
NSC
NTAP
NTRS
NVDA
NWL
NWSA
O
OI
OKE
ORCL
ORLY
OXY
PAYX
PBCT
PBI
PCG
PCL
PCLN
PDCO
PEG
PEP
PFG
PGR
PH
PKI
PLD
PM
PNC
PNR
PNW
POM
PPL
PRGO
PRU
PSA
PSX
PWR
PX
PXD
QCOM
QEP
QRVO
R
RAI
RCL
RF
RHI
RHT
RIG
RL
ROP
ROST
RRC
RSG
RTN
SBUX
SCHW
SE
SHW
SLG
SNA
SO
SRCL
SRE
STI
STT
STZ
SWKS
SYMC
SYY
T
TAP
TDC
TEL
TGNA
TGT
THC
TJX
TMK
TMO
TROW
TRV
TSCO
TSO
TSS
TWC
TWX
TXN
TXT
TYC
UA
UHS
UNH
UNM
UNP
UPS
URBN
URI
USB
UTX
V
VAR
VIAB
VLO
VNO
VRSN
VRTX
VZ
WAT
WDC
WEC
WFM
WM
WMB
WY
WYN
WYNN
XEC
XEL
XL
XRX
XYL
YHOO
YUM
ZBH
ZTS
