GE
LEG
WEC
LOW
EIX
SYY
AEE
HAL
XRAY
NI
KSS
AN
SRE
VFC
K
PX
DFS
MUR
GS
SE
COP
IFF
ROST
HD
DUK
PLD
EQR
NWL
F
FLS
PBI
MHK
LEN
EQIX
FE
UTX
PG
GWW
EOG
WMB
WY
FOXA
APH
HBAN
THC
BSX
TIF
MAC
SWKS
CI
BAC
FDO
MO
ETR
GOOGL
WFM
TDC
ADS
LRCX
AGN
CPB
GT
ABC
KMB
CNP
ZTS
PCL
EXPE
EA
ADBE
MOS
HRB
TSS
PEP
KLAC
PRGO
ETFC
PPL
MON
TXN
PCP
AZO
ZBH
ALL
NBL
CCI
VTR
CERN
TROW
MDT
MMC
MSI
MS
KMX
WFC
ARG
BDX
AXP
GMCR
NAVI
STZ
HCBK
ROP
COF
NSC
BAX
PCLN
CBG
CAM
PFE
MCD
DTE
DVA
DHR
M
DD
CTSH
KO
R
YUM
XYL
MTB
RF
AMP
SCG
TMK
MAR
PGR
