GM
NBL
SLG
KMI
SNI
M
AA
PNR
HP
EXC
BDX
AEE
VLO
SWN
DE
IPG
PCLN
PSX
ISRG
GILD
BCR
GGP
CI
OMC
AAL
FCX
ACN
MU
PEP
ZBH
CINF
DOW
JWN
WYNN
VFC
CHRW
AGN
CSX
CME
CTSH
EXPD
BMY
BLK
PEG
GT
NEE
WMB
WFC
URBN
REGN
ROP
MOS
QEP
KO
CAH
EBAY
VIAB
XRAY
HCA
GPC
BK
HOT
AET
ECL
NTAP
AMAT
STJ
MMC
FITB
AMT
UNP
BAC
NKE
EQIX
SE
LH
RRC
DNB
MDT
BXP
AZO
NDAQ
STI
GOOGL
COL
VMC
CVS
PCAR
CCE
TMK
LM
THC
IFF
CHK
ETN
VTR
GAS
BA
CTAS
VZ
HRB
ADBE
MNK
CCI
TWC
GD
HRS
KSU
HUM
MAC
AVGO
TMO
SWKS
V
ABC
D
FIS
ADM
ABT
AAPL
PKI
KR
TIF
CSCO
SRCL
QCOM
FISV
FLIR
