BSX
AMT
CVS
DE
MCO
MDT
WHR
HD
CAM
WMT
AVGO
GILD
ALXN
GT
SLB
GNW
LNC
FMC
BWA
PHM
WU
NE
AMAT
KLAC
MNK
DPS
KSS
MDLZ
GM
M
IRM
SWN
SEE
ICE
XLNX
ESV
AET
PPG
DIS
WBA
CB
APH
PVH
CLX
SNI
MYL
HIG
SPLS
IP
SNDK
SWK
HOG
GPS
AKAM
HCA
SYK
COG
CI
VFC
CBG
GLW
SPG
KSU
SJM
GD
WFC
OMC
GMCR
STX
CF
FLIR
MA
HBAN
ADS
XOM
BBBY
PFE
AMGN
XRAY
SCG
REGN
HES
ROK
NFLX
BBT
BAX
SIAL
ETN
BF-B
PCAR
TE
MRK
AZO
A
ITW
TRIP
TSN
PCP
CBS
VMC
NUE
AMG
CPB
FE
BMY
BRK-B
FCX
MOS
NEE
TIF
MRO
KORS
HSIC
EXC
NKE
DLTR
LEG
CERN
DOW
BXP
STJ
CMA
CL
PG
CINF
VTR
CTXS
EFX
