DISCA
RRC
WM
HBAN
RSG
ED
FAST
DLTR
AAPL
SO
BEN
GOOGL
A
KSU
AET
ABBV
DO
AVGO
PPG
ALTR
NEM
CME
XRAY
COP
UNH
MNST
L
ROST
HAS
APH
JNJ
GMCR
