AGN
PH
AIZ
MYL
LEG
CNP
RHI
ETN
DO
PNR
INTC
UPS
SRE
DRI
COP
TGT
MA
CTSH
FLS
WU
MCHP
INTU
AVB
CHRW
PNC
STI
ALXN
CMA
FDO
HAL
BCR
HPQ
EA
HBAN
TRV
RL
HES
CI
HCA
ADBE
PPL
STZ
JEC
ETR
XOM
ESRX
ZBH
AES
NBL
PFE
R
GLW
KRFT
NKE
KR
MCK
MCD
WEC
HOG
GM
CVX
WAT
ADSK
TDC
